nodename,batch,timestamp,task,data,in_rows,question,out_rows,out_cols,solution,version,git,fun,run,time_sec,mem_gb,cache,chk,chk_time_sec,comment,on_disk
ip-172-31-21-20,1672267519,1672267673,groupby,G1_1e8_1e1_5_0,100000000,sum v1 by id1,10,2,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,1,2.019,NA,TRUE,285013231,0.003,NA,FALSE
ip-172-31-21-20,1672267519,1672267685,groupby,G1_1e8_1e1_5_0,100000000,sum v1 by id1,10,2,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,2,1.635,NA,TRUE,285013231,0.001,NA,FALSE
ip-172-31-21-20,1672267519,1672267697,groupby,G1_1e8_1e1_5_0,100000000,sum v1 by id1:id2,100,3,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,1,1.69,NA,TRUE,285013231,0.002,NA,FALSE
ip-172-31-21-20,1672267519,1672267710,groupby,G1_1e8_1e1_5_0,100000000,sum v1 by id1:id2,100,3,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,2,1.739,NA,TRUE,285013231,0.001,NA,FALSE
ip-172-31-21-20,1672267519,1672267724,groupby,G1_1e8_1e1_5_0,100000000,sum v1 mean v3 by id3,9499623,3,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,1,2.8,NA,TRUE,285013231;NaN,1.306,NA,FALSE
ip-172-31-21-20,1672267519,1672267739,groupby,G1_1e8_1e1_5_0,100000000,sum v1 mean v3 by id3,9499623,3,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,2,2.589,NA,TRUE,285013231;NaN,1.303,NA,FALSE
ip-172-31-21-20,1672267519,1672267757,groupby,G1_1e8_1e1_5_0,100000000,mean v1:v3 by id4,10,4,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,1,7.427,NA,TRUE,30.00139;80.00893;499.9545,0.001,NA,FALSE
ip-172-31-21-20,1672267519,1672267775,groupby,G1_1e8_1e1_5_0,100000000,mean v1:v3 by id4,10,4,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,2,7.169,NA,TRUE,30.00139;80.00893;499.9545,0.001,NA,FALSE
ip-172-31-21-20,1672267519,1672267788,groupby,G1_1e8_1e1_5_0,100000000,sum v1:v3 by id6,9499563,4,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,1,3.034,NA,TRUE,285013231;760084855;4749567935,0.151,NA,FALSE
ip-172-31-21-20,1672267519,1672267802,groupby,G1_1e8_1e1_5_0,100000000,sum v1:v3 by id6,9499563,4,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,2,2.867,NA,TRUE,285013231;760084855;4749567935,0.174,NA,FALSE
ip-172-31-21-20,1672267519,1672267818,groupby,G1_1e8_1e1_5_0,100000000,median v3 sd v3 by id4 id5,100,4,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,1,6.135,NA,TRUE,4999.834;2886.795,0.001,NA,FALSE
ip-172-31-21-20,1672267519,1672267834,groupby,G1_1e8_1e1_5_0,100000000,median v3 sd v3 by id4 id5,100,4,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,2,5.435,NA,TRUE,4999.834;2886.795,0.001,NA,FALSE
ip-172-31-21-20,1672267519,1672267928,groupby,G1_1e8_1e1_5_0,100000000,sum v1 by id1,10,2,duckdb,0.6.1,919cad22e8,group_by,1,0.261,NA,TRUE,285013231,0.001,NA,FALSE
ip-172-31-21-20,1672267519,1672267929,groupby,G1_1e8_1e1_5_0,100000000,sum v1 by id1,10,2,duckdb,0.6.1,919cad22e8,group_by,2,0.215,NA,TRUE,285013231,0.001,NA,FALSE
ip-172-31-21-20,1672267519,1672267929,groupby,G1_1e8_1e1_5_0,100000000,sum v1 by id1:id2,100,3,duckdb,0.6.1,919cad22e8,group_by,1,0.391,NA,TRUE,285013231,0.001,NA,FALSE
ip-172-31-21-20,1672267519,1672267929,groupby,G1_1e8_1e1_5_0,100000000,sum v1 by id1:id2,100,3,duckdb,0.6.1,919cad22e8,group_by,2,0.379,NA,TRUE,285013231,0.001,NA,FALSE
ip-172-31-21-20,1672267519,1672267937,groupby,G1_1e8_1e1_5_0,100000000,sum v1 mean v3 by id3,9499623,3,duckdb,0.6.1,919cad22e8,group_by,1,7.824,NA,TRUE,285013231;474924348,0.007,NA,FALSE
ip-172-31-21-20,1672267519,1672267942,groupby,G1_1e8_1e1_5_0,100000000,sum v1 mean v3 by id3,9499623,3,duckdb,0.6.1,919cad22e8,group_by,2,4.144,NA,TRUE,285013231;474924348,0.009,NA,FALSE
ip-172-31-21-20,1672267519,1672267942,groupby,G1_1e8_1e1_5_0,100000000,mean v1:v3 by id4,10,4,duckdb,0.6.1,919cad22e8,group_by,1,0.138,NA,TRUE,30.00139;80.00893;499.9545,0.006,NA,FALSE
ip-172-31-21-20,1672267519,1672267942,groupby,G1_1e8_1e1_5_0,100000000,mean v1:v3 by id4,10,4,duckdb,0.6.1,919cad22e8,group_by,2,0.098,NA,TRUE,30.00139;80.00893;499.9545,0.001,NA,FALSE
ip-172-31-21-20,1672267519,1672267945,groupby,G1_1e8_1e1_5_0,100000000,sum v1:v3 by id6,9499563,4,duckdb,0.6.1,919cad22e8,group_by,1,2.454,NA,TRUE,285013231;760084855;4749567935,0.01,NA,FALSE
ip-172-31-21-20,1672267519,1672267947,groupby,G1_1e8_1e1_5_0,100000000,sum v1:v3 by id6,9499563,4,duckdb,0.6.1,919cad22e8,group_by,2,2.362,NA,TRUE,285013231;760084855;4749567935,0.011,NA,FALSE
ip-172-31-21-20,1672267519,1672267949,groupby,G1_1e8_1e1_5_0,100000000,median v3 sd v3 by id4 id5,100,4,duckdb,0.6.1,919cad22e8,group_by,1,1.387,NA,TRUE,4999.834;2886.795,0.001,NA,FALSE
ip-172-31-21-20,1672267519,1672267950,groupby,G1_1e8_1e1_5_0,100000000,median v3 sd v3 by id4 id5,100,4,duckdb,0.6.1,919cad22e8,group_by,2,1.524,NA,TRUE,4999.834;2886.795,0.002,NA,FALSE
ip-172-31-21-20,1672267519,1672267953,groupby,G1_1e8_1e1_5_0,100000000,max v1 - min v2 by id3,9499623,2,duckdb,0.6.1,919cad22e8,group_by,1,2.462,NA,TRUE,25594071,0.002,NA,FALSE
ip-172-31-21-20,1672267519,1672267956,groupby,G1_1e8_1e1_5_0,100000000,max v1 - min v2 by id3,9499623,2,duckdb,0.6.1,919cad22e8,group_by,2,2.539,NA,TRUE,25594071,0.002,NA,FALSE
ip-172-31-21-20,1672267519,1672267964,groupby,G1_1e8_1e1_5_0,100000000,largest two v3 by id6,18991785,2,duckdb,0.6.1,919cad22e8,group_by,1,8.167,NA,TRUE,1600063548,0.004,NA,FALSE
ip-172-31-21-20,1672267519,1672267972,groupby,G1_1e8_1e1_5_0,100000000,largest two v3 by id6,18991785,2,duckdb,0.6.1,919cad22e8,group_by,2,8.166,NA,TRUE,1600063548,0.004,NA,FALSE
ip-172-31-21-20,1672267519,1672267973,groupby,G1_1e8_1e1_5_0,100000000,regression v1 v2 by id2 id4,100,3,duckdb,0.6.1,919cad22e8,group_by,1,0.401,NA,TRUE,0.0001047423,0.001,NA,FALSE
ip-172-31-21-20,1672267519,1672267973,groupby,G1_1e8_1e1_5_0,100000000,regression v1 v2 by id2 id4,100,3,duckdb,0.6.1,919cad22e8,group_by,2,0.352,NA,TRUE,0.0001047423,0.001,NA,FALSE
ip-172-31-21-20,1672267519,1672267986,groupby,G1_1e8_1e1_5_0,100000000,sum v3 count by id1:id6,99758784,8,duckdb,0.6.1,919cad22e8,group_by,1,12.801,NA,TRUE,4749567935;100000000,0.038,NA,FALSE
ip-172-31-21-20,1672267519,1672267994,groupby,G1_1e8_1e1_5_0,100000000,sum v3 count by id1:id6,99758784,8,duckdb,0.6.1,919cad22e8,group_by,2,7.371,NA,TRUE,4749567935;100000000,0.044,NA,FALSE
ip-172-31-21-20,1672268635,1672268643,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1,100,2,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,1,0.115,NA,TRUE,29998789,0.002,NA,FALSE
ip-172-31-21-20,1672268635,1672268643,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1,100,2,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,2,0.11,NA,TRUE,29998789,0.001,NA,FALSE
ip-172-31-21-20,1672268635,1672268643,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1:id2,10000,3,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,1,0.105,NA,TRUE,29998789,0.001,NA,FALSE
ip-172-31-21-20,1672268635,1672268644,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1:id2,10000,3,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,2,0.106,NA,TRUE,29998789,0.001,NA,FALSE
ip-172-31-21-20,1672268635,1672268644,groupby,G1_1e7_1e2_0_0,10000000,sum v1 mean v3 by id3,100000,3,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,1,0.123,NA,TRUE,29998789;4999720,0.001,NA,FALSE
ip-172-31-21-20,1672268635,1672268644,groupby,G1_1e7_1e2_0_0,10000000,sum v1 mean v3 by id3,100000,3,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,2,0.115,NA,TRUE,29998789;4999720,0.001,NA,FALSE
ip-172-31-21-20,1672268635,1672268645,groupby,G1_1e7_1e2_0_0,10000000,mean v1:v3 by id4,100,4,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,1,0.396,NA,TRUE,299.988;799.8942;4999.767,0.001,NA,FALSE
ip-172-31-21-20,1672268635,1672268645,groupby,G1_1e7_1e2_0_0,10000000,mean v1:v3 by id4,100,4,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,2,0.299,NA,TRUE,299.988;799.8942;4999.767,0,NA,FALSE
ip-172-31-21-20,1672268635,1672268645,groupby,G1_1e7_1e2_0_0,10000000,sum v1:v3 by id6,100000,4,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,1,0.147,NA,TRUE,29998789;79989360;499976651,0.002,NA,FALSE
ip-172-31-21-20,1672268635,1672268646,groupby,G1_1e7_1e2_0_0,10000000,sum v1:v3 by id6,100000,4,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,2,0.12,NA,TRUE,29998789;79989360;499976651,0.001,NA,FALSE
ip-172-31-21-20,1672268635,1672268646,groupby,G1_1e7_1e2_0_0,10000000,median v3 sd v3 by id4 id5,10000,4,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,1,0.72,NA,TRUE,499920.1;288648.1,0.001,NA,FALSE
ip-172-31-21-20,1672268635,1672268647,groupby,G1_1e7_1e2_0_0,10000000,median v3 sd v3 by id4 id5,10000,4,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,2,0.678,NA,TRUE,499920.1;288648.1,0.001,NA,FALSE
ip-172-31-21-20,1672268635,1672268648,groupby,G1_1e7_1e2_0_0,10000000,max v1 - min v2 by id3,100000,2,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,1,0.876,NA,TRUE,399882,0.001,NA,FALSE
ip-172-31-21-20,1672268635,1672268649,groupby,G1_1e7_1e2_0_0,10000000,max v1 - min v2 by id3,100000,2,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,2,0.877,NA,TRUE,399882,0.001,NA,FALSE
ip-172-31-21-20,1672268635,1672268650,groupby,G1_1e7_1e2_0_0,10000000,largest two v3 by id6,200000,2,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,1,0.467,NA,TRUE,19700451,0.001,NA,FALSE
ip-172-31-21-20,1672268635,1672268650,groupby,G1_1e7_1e2_0_0,10000000,largest two v3 by id6,200000,2,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,2,0.415,NA,TRUE,19700451,0.001,NA,FALSE
ip-172-31-21-20,1672268635,1672268652,groupby,G1_1e7_1e2_0_0,10000000,regression v1 v2 by id2 id4,10000,3,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,1,1.032,NA,TRUE,9.838641,0.001,NA,FALSE
ip-172-31-21-20,1672268635,1672268653,groupby,G1_1e7_1e2_0_0,10000000,regression v1 v2 by id2 id4,10000,3,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,2,1.16,NA,TRUE,9.838641,0.001,NA,FALSE
ip-172-31-21-20,1672268635,1672268655,groupby,G1_1e7_1e2_0_0,10000000,sum v3 count by id1:id6,10000000,8,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,1,2.123,NA,TRUE,499976651;10000000,0.087,NA,FALSE
ip-172-31-21-20,1672268635,1672268657,groupby,G1_1e7_1e2_0_0,10000000,sum v3 count by id1:id6,10000000,8,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,2,1.769,NA,TRUE,499976651;10000000,0.086,NA,FALSE
ip-172-31-21-20,1672268635,1672268686,groupby,G1_1e7_1e1_0_0,10000000,sum v1 by id1,10,2,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,1,0.176,NA,TRUE,29998597,0.003,NA,FALSE
ip-172-31-21-20,1672268635,1672268687,groupby,G1_1e7_1e1_0_0,10000000,sum v1 by id1,10,2,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,2,0.148,NA,TRUE,29998597,0.001,NA,FALSE
ip-172-31-21-20,1672268635,1672268688,groupby,G1_1e7_1e1_0_0,10000000,sum v1 by id1:id2,100,3,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,1,0.18,NA,TRUE,29998597,0.001,NA,FALSE
ip-172-31-21-20,1672268635,1672268689,groupby,G1_1e7_1e1_0_0,10000000,sum v1 by id1:id2,100,3,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,2,0.135,NA,TRUE,29998597,0.001,NA,FALSE
ip-172-31-21-20,1672268635,1672268690,groupby,G1_1e7_1e1_0_0,10000000,sum v1 mean v3 by id3,999951,3,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,1,0.224,NA,TRUE,29998597;50000559,0.006,NA,FALSE
ip-172-31-21-20,1672268635,1672268692,groupby,G1_1e7_1e1_0_0,10000000,sum v1 mean v3 by id3,999951,3,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,2,0.231,NA,TRUE,29998597;50000559,0.017,NA,FALSE
ip-172-31-21-20,1672268635,1672268693,groupby,G1_1e7_1e1_0_0,10000000,mean v1:v3 by id4,10,4,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,1,0.508,NA,TRUE,29.9986;79.99191;499.9807,0.001,NA,FALSE
ip-172-31-21-20,1672268635,1672268694,groupby,G1_1e7_1e1_0_0,10000000,mean v1:v3 by id4,10,4,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,2,0.489,NA,TRUE,29.9986;79.99191;499.9807,0.001,NA,FALSE
ip-172-31-21-20,1672268635,1672268696,groupby,G1_1e7_1e1_0_0,10000000,sum v1:v3 by id6,999965,4,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,1,0.259,NA,TRUE,29998597;79991898;499980747,0.009,NA,FALSE
ip-172-31-21-20,1672268635,1672268697,groupby,G1_1e7_1e1_0_0,10000000,sum v1:v3 by id6,999965,4,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,2,0.219,NA,TRUE,29998597;79991898;499980747,0.025,NA,FALSE
ip-172-31-21-20,1672268635,1672268699,groupby,G1_1e7_1e1_0_0,10000000,median v3 sd v3 by id4 id5,100,4,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,1,0.582,NA,TRUE,4999.573;2887.162,0.001,NA,FALSE
ip-172-31-21-20,1672268635,1672268700,groupby,G1_1e7_1e1_0_0,10000000,median v3 sd v3 by id4 id5,100,4,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,2,0.498,NA,TRUE,4999.573;2887.162,0.001,NA,FALSE
ip-172-31-21-20,1672268635,1672268705,groupby,G1_1e7_1e1_0_0,10000000,max v1 - min v2 by id3,999951,2,data.table,1.14.7,cb8aeff9453acec878e5ab8515cda0d302c943eb,[.data.table,1,3.754,NA,TRUE,2789316,0.009,NA,FALSE
